what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383724607433
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.create.getter.setter,1383724607453
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1383724615433
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1383724617304
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724652464
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724732080
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383724733446
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383746768743
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383747001725
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383747894031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383747898604
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383747907654
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1383747907684
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1383747970744
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383747972556
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383852114413
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383852117675
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383852122843
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1383852125360
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384083970986
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384083974376
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384160809799
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384160810830
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1384160812888
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384160813070
